symbol,rank_date,filingDate,net_shares_90d,net_dollars_90d,buy_insider_count_90d,z_dollars,z_shares,z_count,signal_score,cs_rank,cs_percentile,group
ACLX,2025-09-26,2025-09-26,-12396.0,-993155.124,0.0,-3.945853997023403,-1.5535401919092071,-0.6744907594765952,-2.7252136452479414,55.0,0.7971014492753623,short
NRGV,2025-09-26,2025-09-26,-150000.0,-456225.0,0.0,-1.5446995532369672,-18.84352276773212,-0.6744907594765952,-3.0135192365583707,56.0,0.8115942028985508,short
CIEN,2025-09-26,2025-09-26,-12847.0,-1185555.32,0.0,-4.806268723187624,-1.6102084729308062,-0.6744907594765952,-3.2471293090486335,57.0,0.8260869565217391,short
AGX,2025-09-26,2025-09-26,-5000.0,-1335000.0,1.0,-5.474586147453135,-0.6242306432711857,0.0,-3.347174752799,58.0,0.8405797101449275,short
URG,2025-09-26,2025-09-26,-213914.0,-374563.414,1.0,-1.1795084951346875,-26.874335435613474,0.0,-3.39513864064216,59.0,0.855072463768116,short
DOCS,2025-09-26,2025-09-26,0.0,-1499980.0,1.0,-6.212377607512631,0.004020809296432759,0.0,-3.7270244835779356,60.0,0.8695652173913043,short
WMT,2025-09-26,2025-09-26,-84594.0,-2003987.4912,0.0,-8.466301857805828,-10.625239866404591,-0.6744907594765952,-6.344652329166934,61.0,0.8840579710144928,short
UAL,2025-09-26,2025-09-26,46476.0,-3057618.23,1.0,-13.17814426987285,5.84374371120296,0.0,-7.3225121908034145,62.0,0.8985507246376812,short
GAP,2025-09-26,2025-09-26,-121781.0,-2581757.2,0.0,-11.05009114762097,-15.297797219730997,-0.6744907594765952,-8.36218163838866,63.0,0.9130434782608695,short
LPSN,2025-09-26,2025-09-26,-662857.0,-419099.613,0.0,-1.3786746200329192,-83.28415380962635,-0.6744907594765952,-9.357967380825365,64.0,0.927536231884058,short
ROST,2025-09-26,2025-09-26,-39351.0,-5745246.0,0.0,-25.197230319847076,-4.940443772701238,-0.6744907594765952,-15.814729797021347,65.0,0.9420289855072463,short
GM,2025-09-26,2025-09-26,-83030.0,-6678282.540000001,1.0,-29.369774816970732,-10.42872281204144,0.0,-18.664737171386584,66.0,0.9565217391304348,short
VST,2025-09-26,2025-09-26,5250.0,-7858002.02,1.0,-34.645486767569764,0.6636848344924322,0.0,-20.720923577092616,67.0,0.9710144927536232,short
AZO,2025-09-26,2025-09-26,0.0,-10074038.28,1.0,-44.55561301202476,0.004020809296432759,0.0,-26.73296572628521,68.0,0.9855072463768116,short
BX,2025-09-26,2025-09-26,-113000.0,-19853482.54,0.0,-88.28934109516123,-14.194462018731745,-0.6744907594765952,-54.595398086812885,69.0,1.0,short
